strategy_name,setup_type,day_type,trend_strength,session_date,entry_time,exit_time,bars_held,direction,contracts,signal_price,entry_price,exit_price,stop_price,target_price,gross_pnl,commission,slippage_cost,net_pnl,exit_reason,r_multiple,is_winner
Edge Fade,EDGE_TO_MID,b_day,weak,2025-11-20 00:00:00,2025-11-20 10:57:00,2025-11-20 11:01:00,4,LONG,4,25427.25,25427.25,25379.19,25379.44,25479.38,-384.5,4.96,4.0,-393.46,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-11-21 00:00:00,2025-11-21 10:30:00,2025-11-21 10:36:00,6,LONG,3,24302.5,24302.5,24242.89,24243.14,24419.12,-357.67,3.72,3.0,-364.39,STOP,-1.0,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-11-21 00:00:00,2025-11-21 10:54:00,2025-11-21 11:03:00,9,LONG,3,24303.75,24303.75,24242.89,24243.14,24419.12,-365.17,3.72,3.0,-371.89,STOP,-1.0,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-11-21 00:00:00,2025-11-21 11:14:00,2025-11-21 11:30:00,16,LONG,2,24329.0,24329.0,24418.88,24243.14,24419.12,359.5,2.48,2.0,355.02,TARGET,1.05,1
Trend Day Bull,VWAP_PULLBACK,p_day,moderate,2025-11-25 00:00:00,2025-11-25 11:53:00,2025-11-25 15:30:00,217,LONG,1,25150.5,25150.5,25304.0,25150.5,25566.5,307.0,1.24,1.0,304.76,EOD,0.0,1
P-Day,P_DAY_VWAP_LONG,p_day,moderate,2025-11-25 00:00:00,2025-11-25 11:53:00,2025-11-25 15:30:00,217,LONG,1,25150.5,25150.5,25304.0,25150.5,25566.5,307.0,1.24,1.0,304.76,EOD,0.0,1
Trend Day Bull,VWAP_PULLBACK,p_day,moderate,2025-11-28 00:00:00,2025-11-28 12:04:00,2025-11-28 13:15:00,71,LONG,2,25679.75,25679.75,25740.75,25679.75,25816.0,244.0,2.48,2.0,239.52,EOD,0.0,1
P-Day,P_DAY_VWAP_LONG,p_day,moderate,2025-11-28 00:00:00,2025-11-28 12:04:00,2025-11-28 13:15:00,71,LONG,2,25679.75,25679.75,25740.75,25679.75,25816.0,244.0,2.48,2.0,239.52,EOD,0.0,1
Trend Day Bull,VWAP_PULLBACK,p_day,moderate,2025-12-01 00:00:00,2025-12-01 11:31:00,2025-12-01 14:30:00,179,LONG,1,25649.0,25649.0,25648.75,25649.0,25918.38,-0.5,1.24,1.0,-2.74,STOP,0.0,0
P-Day,P_DAY_VWAP_LONG,p_day,moderate,2025-12-01 00:00:00,2025-12-01 11:31:00,2025-12-01 14:30:00,179,LONG,1,25649.0,25649.0,25648.75,25649.0,25918.38,-0.5,1.24,1.0,-2.74,STOP,0.0,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-02 00:00:00,2025-12-02 11:38:00,2025-12-02 12:17:00,39,LONG,5,25740.25,25740.25,25819.25,25700.22,25819.5,790.0,6.2,5.0,778.8,TARGET,1.97,1
Trend Day Bull,VWAP_PULLBACK,p_day,moderate,2025-12-03 00:00:00,2025-12-03 10:37:00,2025-12-03 15:30:00,293,LONG,1,25853.0,25853.0,25938.5,25853.0,26069.5,171.0,1.24,1.0,168.76,EOD,0.0,1
P-Day,P_DAY_VWAP_LONG,p_day,moderate,2025-12-03 00:00:00,2025-12-03 10:37:00,2025-12-03 15:30:00,293,LONG,1,25853.0,25853.0,25938.5,25853.0,26069.5,171.0,1.24,1.0,168.76,EOD,0.0,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-04 00:00:00,2025-12-04 11:07:00,2025-12-04 11:50:00,43,LONG,5,25785.25,25785.25,25873.0,25748.12,25873.25,877.5,6.2,5.0,866.3,TARGET,2.36,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-04 00:00:00,2025-12-04 14:21:00,2025-12-04 14:24:00,3,LONG,5,25785.25,25785.25,25747.88,25748.12,25873.25,-373.75,6.2,5.0,-384.95,STOP,-1.01,0
B-Day,B_DAY_IBL_FADE,b_day,weak,2025-12-05 00:00:00,2025-12-05 11:33:00,2025-12-05 13:03:00,90,LONG,8,25933.75,25933.75,25980.0,25910.55,26027.25,740.0,9.92,8.0,722.08,VWAP_BREACH_PM,1.99,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-05 00:00:00,2025-12-05 11:18:00,2025-12-05 15:30:00,252,LONG,3,25964.0,25964.0,25981.75,25900.82,26027.25,106.5,3.72,3.0,99.78,EOD,0.28,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-05 00:00:00,2025-12-05 11:38:00,2025-12-05 15:30:00,232,LONG,4,25941.25,25941.25,25981.75,25941.25,26027.25,324.0,4.96,4.0,315.04,EOD,0.0,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-05 00:00:00,2025-12-05 12:13:00,2025-12-05 15:30:00,197,LONG,3,25961.25,25961.25,25981.75,25900.82,26027.25,123.0,3.72,3.0,116.28,EOD,0.34,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-05 00:00:00,2025-12-05 12:38:00,2025-12-05 15:30:00,172,LONG,4,25943.75,25943.75,25981.75,25943.75,26027.25,304.0,4.96,4.0,295.04,EOD,0.0,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-08 00:00:00,2025-12-08 10:52:00,2025-12-08 11:20:00,28,LONG,3,25935.75,25935.75,25882.69,25882.94,26015.38,-318.38,3.72,3.0,-325.1,STOP,-1.0,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-08 00:00:00,2025-12-08 11:23:00,2025-12-08 12:01:00,38,LONG,6,25914.0,25914.0,25882.69,25882.94,26015.38,-375.75,7.44,6.0,-389.19,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-08 00:00:00,2025-12-08 12:57:00,2025-12-08 13:31:00,34,LONG,5,25923.0,25923.0,25882.69,25882.94,26015.38,-403.12,6.2,5.0,-414.32,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-08 00:00:00,2025-12-08 13:21:00,2025-12-08 13:31:00,10,LONG,4,25931.75,25931.75,25882.69,25882.94,26015.38,-392.5,4.96,4.0,-401.46,STOP,-1.01,0
Trend Day Bull,VWAP_PULLBACK,p_day,moderate,2025-12-09 00:00:00,2025-12-09 10:46:00,2025-12-09 15:30:00,284,LONG,2,25931.5,25931.5,25953.25,25931.5,26096.25,87.0,2.48,2.0,82.52,EOD,0.0,1
P-Day,P_DAY_VWAP_LONG,p_day,moderate,2025-12-09 00:00:00,2025-12-09 10:46:00,2025-12-09 15:30:00,284,LONG,2,25931.5,25931.5,25953.25,25931.5,26096.25,87.0,2.48,2.0,82.52,EOD,0.0,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-10 00:00:00,2025-12-10 10:39:00,2025-12-10 10:50:00,11,LONG,7,25836.0,25836.0,25875.88,25807.71,25876.12,558.25,8.68,7.0,542.57,TARGET,1.41,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-10 00:00:00,2025-12-10 11:08:00,2025-12-10 11:19:00,11,LONG,9,25829.25,25829.25,25875.88,25807.71,25876.12,839.25,11.16,9.0,819.09,TARGET,2.16,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-12 00:00:00,2025-12-12 10:32:00,2025-12-12 10:59:00,27,LONG,3,25599.5,25599.5,25536.21,25536.46,25728.38,-379.72,3.72,3.0,-386.44,STOP,-1.0,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-12 00:00:00,2025-12-12 13:13:00,2025-12-12 13:58:00,45,LONG,2,25603.5,25603.5,25536.21,25536.46,25728.38,-269.15,2.48,2.0,-273.63,STOP,-1.0,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-12 00:00:00,2025-12-12 13:34:00,2025-12-12 13:58:00,24,LONG,4,25584.0,25584.0,25536.21,25536.46,25728.38,-382.3,4.96,4.0,-391.26,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-16 00:00:00,2025-12-16 10:43:00,2025-12-16 10:47:00,4,LONG,2,25216.75,25216.75,25293.62,25144.21,25293.88,307.5,2.48,2.0,303.02,TARGET,1.06,1
B-Day,B_DAY_IBL_FADE,b_day,weak,2025-12-16 00:00:00,2025-12-16 13:08:00,2025-12-16 13:09:00,1,LONG,4,25198.75,25198.75,25212.0,25155.72,25293.88,106.0,4.96,4.0,97.04,VWAP_BREACH_PM,0.31,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-16 00:00:00,2025-12-16 13:00:00,2025-12-16 13:41:00,41,LONG,3,25200.75,25200.75,25293.62,25200.75,25293.88,557.25,3.72,3.0,550.53,TARGET,0.0,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-16 00:00:00,2025-12-16 13:20:00,2025-12-16 13:41:00,21,LONG,3,25200.5,25200.5,25293.62,25200.5,25293.88,558.75,3.72,3.0,552.03,TARGET,0.0,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-18 00:00:00,2025-12-18 12:18:00,2025-12-18 12:34:00,16,LONG,3,25191.75,25191.75,25249.25,25134.78,25249.5,345.0,3.72,3.0,338.28,TARGET,1.01,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-22 00:00:00,2025-12-22 10:33:00,2025-12-22 10:36:00,3,LONG,7,25679.75,25679.75,25653.62,25653.88,25733.5,-365.75,8.68,7.0,-381.43,STOP,-1.01,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-22 00:00:00,2025-12-22 10:53:00,2025-12-22 13:26:00,153,LONG,7,25679.25,25679.25,25679.0,25679.25,25733.5,-3.5,8.68,7.0,-19.18,STOP,0.0,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-22 00:00:00,2025-12-22 13:19:00,2025-12-22 15:30:00,131,LONG,5,25691.25,25691.25,25688.0,25653.88,25733.5,-32.5,6.2,5.0,-43.7,EOD,-0.09,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-22 00:00:00,2025-12-22 13:39:00,2025-12-22 15:30:00,111,LONG,5,25690.5,25690.5,25688.0,25653.88,25733.5,-25.0,6.2,5.0,-36.2,EOD,-0.07,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-22 00:00:00,2025-12-22 14:00:00,2025-12-22 15:30:00,90,LONG,5,25689.75,25689.75,25688.0,25653.88,25733.5,-17.5,6.2,5.0,-28.7,EOD,-0.05,0
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-22 00:00:00,2025-12-22 14:20:00,2025-12-22 15:30:00,70,LONG,6,25686.75,25686.75,25688.0,25653.88,25733.5,15.0,7.44,6.0,1.56,EOD,0.04,1
Edge Fade,EDGE_TO_MID,b_day,weak,2025-12-22 00:00:00,2025-12-22 14:57:00,2025-12-22 15:30:00,33,LONG,5,25693.25,25693.25,25688.0,25653.88,25733.5,-52.5,6.2,5.0,-63.7,EOD,-0.13,0
