NinjaScript File,Error,Code,Line,Column,
RockitEightyPercentSignal.cs,The type or namespace name 'EightyPModel' could not be found (are you missing a using directive or an assembly reference?),CS0246,633,73,
RockitEightyPercentSignal.cs,The type or namespace name 'EightyPModel' could not be found (are you missing a using directive or an assembly reference?),CS0246,638,96,
RockitEightyPercentSignal.cs,The type or namespace name 'EightyPModel' could not be found (are you missing a using directive or an assembly reference?),CS0246,649,73,
RockitEightyPercentSignal.cs,The type or namespace name 'EightyPModel' could not be found (are you missing a using directive or an assembly reference?),CS0246,654,96,
