#schema: NinjaDataExport/v2.3, volumetric=True
timestamp,instrument,period,open,high,low,close,volume,ema20,ema50,ema200,rsi14,atr14,vwap,vwap_upper1,vwap_upper2,vwap_upper3,vwap_lower1,vwap_lower2,vwap_lower3,vol_ask,vol_bid,vol_delta,session_date
2026-02-05T18:01:00.000,YM,Volumetric_1,48845,48902,48845,48882,190,48882,48882,48882,0,57,48884.7578947368,48895.4465172115,48874.0692722622,48906.1351396862,48863.3806497875,48916.8237621609,48852.6920273128,92,98,-6,2026-02-06
2026-02-05T18:02:00.000,YM,Volumetric_1,48894,48894,48839,48872,82,48881.0476190476,48881.6078431373,48881.9004975124,0,56,48877.4558823529,48893.1399729673,48861.7717917386,48908.8240635816,48846.0877011243,48924.5081541959,48830.40361051,43,39,4,2026-02-06
2026-02-05T18:03:00.000,YM,Volumetric_1,48862,48885,48859,48876,34,48880.566893424,48881.3879277201,48881.8417860944,0,46,48877.2777777778,48892.3120947944,48862.2434607612,48907.346411811,48847.2091437446,48922.3807288276,48832.174826728,13,21,-8,2026-02-06
2026-02-05T18:04:00.000,YM,Volumetric_1,48884,48898,48875,48892,58,48881.655760717,48881.8040874174,48881.9428628497,0,40.25,48878.4313186813,48892.6298021484,48864.2328352142,48906.8282856155,48850.0343517471,48921.0267690826,48835.83586828,26,32,-6,2026-02-06
2026-02-05T18:05:00.000,YM,Volumetric_1,48894,48896,48887,48896,21,48883.0218787439,48882.3607898716,48882.0827348611,0,34,48879.1662337662,48893.3206107499,48865.0118567826,48907.4749877335,48850.8574797989,48921.6293647172,48836.7031028153,14,7,7,2026-02-06
2026-02-05T18:06:00.000,YM,Volumetric_1,48900,48901,48870,48875,65,48882.2578902921,48882.0721314453,48882.0122598874,0,33.5,48880.04,48893.8942633057,48866.1857366943,48907.7485266113,48852.3314733887,48921.602789917,48838.477210083,24,41,-17,2026-02-06
2026-02-05T18:07:00.000,YM,Volumetric_1,48878,48890,48877,48881,36,48882.1380912167,48882.0300870749,48882.0021876497,0,30.8571428571429,48880.2551440329,48893.6454819769,48866.8648060889,48907.035819921,48853.4744681449,48920.426157865,48840.0841302008,22,14,8,2026-02-06
2026-02-05T18:08:00.000,YM,Volumetric_1,48881,48889,48877,48881,19,48882.029701577,48881.9896915033,48881.9922156333,0,28.5,48880.3603960396,48893.5203720452,48867.2004200341,48906.6803480507,48854.0404440285,48919.8403240563,48840.8804680229,11,8,3,2026-02-06
2026-02-05T18:09:00.000,YM,Volumetric_1,48876,48876,48857,48868,35,48880.6935395221,48881.4410761502,48881.8529896071,0,28,48879.2962962963,48892.6914722301,48865.9011203625,48906.086648164,48852.5059444286,48919.4818240978,48839.1107684948,25,10,15,2026-02-06
2026-02-05T18:10:00.000,YM,Volumetric_1,48869,48873,48858,48865,41,48879.1989167104,48880.7963280659,48881.6852981682,0,26.7,48878.4388984509,48891.7833408185,48865.0944560834,48905.1277831861,48851.7500137158,48918.4722255536,48838.4055713483,21,20,1,2026-02-06
